cond_mt_lowcrust_conus117_250m,PosSite_Distance
4.577315,250
4.511513,353.5534
4.511513,559.01697
4.577315,500
4.577315,250
4.577315,0
4.511513,250
4.511513,500
4.577315,559.01697
4.577315,353.5534
4.577315,250
4.511513,353.5534
4.511513,559.01697
4.577315,707.1068
4.577315,559.01697
4.577315,500
4.511513,559.01697
4.511513,707.1068
4.615908,707.1068
4.615908,559.01697
4.615908,500
4.615908,559.01697
4.615908,707.1068
4.615908,559.01697
4.615908,353.5534
4.615908,250
4.615908,353.5534
4.615908,559.01697
4.615908,500
4.615908,250
4.615908,0
4.615908,250
4.615908,500
4.615908,559.01697
4.615908,353.5534
4.615908,250
4.615908,353.5534
4.615908,559.01697
4.3633385,707.1068
4.3633385,559.01697
4.3633385,500
4.3633385,559.01697
4.3633385,707.1068
3.949664,707.1068
3.9128618,559.01697
3.9128618,500
3.9128618,559.01697
3.9128618,707.1068
3.949664,559.01697
3.9128618,353.5534
3.9128618,250
3.9128618,353.5534
3.9128618,559.01697
3.949664,500
3.9128618,250
3.9128618,0
3.9128618,250
3.9128618,500
3.949664,559.01697
3.9128618,353.5534
3.9128618,250
3.9128618,353.5534
3.9128618,559.01697
3.949664,707.1068
3.9128618,559.01697
3.9128618,500
3.9128618,559.01697
3.9128618,707.1068
3.8593724,707.1068
3.8593724,559.01697
3.8593724,500
3.8593724,559.01697
3.8593724,707.1068
3.8593724,559.01697
3.8593724,353.5534
3.8593724,250
3.8593724,353.5534
3.8593724,559.01697
3.8593724,500
3.8593724,250
3.8593724,0
3.8593724,250
3.8593724,500
3.8593724,559.01697
3.8593724,353.5534
3.8593724,250
3.8593724,353.5534
3.8593724,559.01697
3.8593724,707.1068
3.8593724,559.01697
3.8593724,500
3.8593724,559.01697
3.8593724,707.1068
4.0728583,707.1068
4.0728583,559.01697
4.0728583,500
4.0728583,559.01697
4.0728583,707.1068
4.0728583,559.01697
4.0728583,353.5534
4.0728583,250
4.0728583,353.5534
4.0728583,559.01697
4.0728583,500
4.0728583,250
4.0728583,0
4.0728583,250
4.0728583,500
4.0728583,559.01697
4.0728583,353.5534
4.0728583,250
4.0728583,353.5534
4.0728583,559.01697
4.0728583,707.1068
4.0728583,559.01697
4.0728583,500
4.0728583,559.01697
4.0728583,707.1068
3.8998497,707.1068
3.8998497,559.01697
3.8998497,500
3.8998497,559.01697
3.8998497,707.1068
3.8998497,559.01697
3.8998497,353.5534
3.8998497,250
3.8998497,353.5534
3.8998497,559.01697
3.8998497,500
3.8998497,250
3.8998497,0
3.8998497,250
3.8998497,500
3.8998497,559.01697
3.8998497,353.5534
3.8998497,250
3.8998497,353.5534
3.8998497,559.01697
3.8998497,707.1068
3.8998497,559.01697
3.8998497,500
3.8998497,559.01697
3.8998497,707.1068
4.1093416,707.1068
4.1093416,559.01697
4.1093416,500
4.1093416,559.01697
4.1093416,707.1068
4.2472916,559.01697
4.2472916,353.5534
4.2472916,250
4.2472916,353.5534
4.2472916,559.01697
4.2472916,500
4.2472916,250
4.2472916,0
4.2472916,250
4.2472916,500
4.2472916,559.01697
4.2472916,353.5534
4.2472916,250
4.2472916,353.5534
4.2472916,559.01697
4.2472916,707.1068
4.2472916,559.01697
4.2472916,500
4.2472916,559.01697
4.2472916,707.1068
