cond_mt_lowcrust_conus117_250m,NegSite_Distance
4.180615,500
4.180615,587.67523
4.180615,353.5534
4.180615,250
4.180615,353.5534
4.180615,587.67523
4.180615,707.1068
4.180615,587.67523
4.180615,500
4.180615,587.67523
4.180615,707.1068
4.385618,707.1068
4.385618,587.67523
4.385618,500
4.385618,587.67523
4.385618,707.1068
4.385618,587.67523
4.385618,353.5534
4.385618,250
4.385618,353.5534
4.385618,587.67523
4.385618,500
4.385618,250
4.385618,0
4.385618,250
4.385618,500
4.385618,587.67523
4.385618,353.5534
4.385618,250
4.385618,353.5534
4.385618,587.67523
4.385618,707.1068
4.385618,587.67523
4.385618,500
4.385618,587.67523
4.385618,707.1068
4.328502,707.1068
4.328502,587.67523
4.328502,500
4.328502,587.67523
4.328502,707.1068
4.328502,587.67523
4.328502,353.5534
4.328502,250
4.328502,353.5534
4.328502,587.67523
4.328502,500
4.328502,250
4.328502,0
4.328502,250
4.328502,500
4.328502,587.67523
4.328502,353.5534
4.328502,250
4.328502,353.5534
4.328502,587.67523
4.328502,707.1068
4.328502,587.67523
4.328502,500
4.328502,587.67523
4.328502,707.1068
3.7533288,707.1068
3.7533288,587.67523
3.7533288,500
3.7533288,587.67523
3.7533288,707.1068
3.7533288,587.67523
3.7533288,353.5534
3.7533288,250
3.7533288,353.5534
3.7533288,587.67523
3.7533288,500
3.7533288,250
3.7533288,0
3.7533288,250
3.7533288,500
3.7533288,587.67523
3.7533288,353.5534
3.7533288,250
3.7533288,353.5534
3.7533288,587.67523
3.7533288,707.1068
3.7533288,587.67523
3.7533288,500
3.7533288,587.67523
3.7533288,707.1068
3.7113554,707.1068
3.7113554,587.67523
3.7113554,500
3.7113554,587.67523
3.7113554,707.1068
3.7113554,587.67523
3.7113554,353.5534
3.7113554,250
3.7113554,353.5534
3.7113554,587.67523
3.7113554,500
3.7113554,250
3.7113554,0
3.7113554,250
3.7113554,500
3.7113554,587.67523
3.7113554,353.5534
3.7113554,250
3.7113554,353.5534
3.7113554,587.67523
3.7113554,707.1068
3.7113554,587.67523
3.7383618,500
3.7383618,587.67523
3.7383618,707.1068
